restaurant_id,restaurant_name,city,opening_hours
1,Burger Point 1,Pune,11:00-01:00
2,Biryani Corner 2,Kolkata,24 Hours
3,Royal Palace 3,Ahmedabad,11:00-01:00
4,Food Palace 4,Kolkata,10:00-23:00
5,Urban Corner 5,Ahmedabad,10:00-23:00
6,Urban Corner 6,Kolkata,11:00-01:00
7,Burger Hub 7,Delhi,24 Hours
8,Spice Kitchen 8,Delhi,24 Hours
9,Cafe Point 9,Mumbai,09:00-22:00
10,Food Corner 10,Pune,09:00-22:00
11,Cafe Hub 11,Kolkata,24 Hours
12,Cafe Express 12,Bangalore,10:00-23:00
13,Pizza Factory 13,Bangalore,10:00-23:00
14,Burger Express 14,Hyderabad,09:00-22:00
15,Cafe Corner 15,Delhi,09:00-22:00
16,Curry Corner 16,Bangalore,10:00-23:00
17,Urban Express 17,Kolkata,11:00-01:00
18,Biryani Point 18,Hyderabad,09:00-22:00
19,Urban Kitchen 19,Chennai,11:00-01:00
20,Curry Express 20,Hyderabad,10:00-23:00
21,Pizza Point 21,Bangalore,11:00-01:00
22,Royal Point 22,Mumbai,09:00-22:00
23,Burger Express 23,Pune,09:00-22:00
24,Burger Express 24,Chennai,24 Hours
25,Biryani Factory 25,Hyderabad,11:00-01:00
26,Pizza Factory 26,Bangalore,24 Hours
27,Urban Express 27,Mumbai,24 Hours
28,Taste Corner 28,Pune,24 Hours
29,Curry Hub 29,Chennai,10:00-23:00
30,Food Kitchen 30,Kolkata,11:00-01:00
31,Urban House 31,Ahmedabad,11:00-01:00
32,Curry Corner 32,Chennai,10:00-23:00
33,Taste Factory 33,Hyderabad,10:00-23:00
34,Taste Express 34,Hyderabad,10:00-23:00
35,Taste Corner 35,Pune,10:00-23:00
36,Urban Kitchen 36,Mumbai,24 Hours
37,Cafe Hub 37,Bangalore,24 Hours
38,Curry Palace 38,Ahmedabad,11:00-01:00
39,Pizza House 39,Chennai,24 Hours
40,Taste House 40,Bangalore,24 Hours
41,Pizza Hub 41,Pune,24 Hours
42,Royal Factory 42,Mumbai,24 Hours
43,Curry Hub 43,Bangalore,10:00-23:00
44,Biryani Kitchen 44,Pune,11:00-01:00
45,Cafe Express 45,Delhi,11:00-01:00
46,Taste Express 46,Ahmedabad,11:00-01:00
47,Curry House 47,Ahmedabad,24 Hours
48,Taste Point 48,Pune,11:00-01:00
49,Biryani Express 49,Ahmedabad,10:00-23:00
50,Cafe House 50,Hyderabad,09:00-22:00
51,Food Corner 51,Kolkata,24 Hours
52,Taste House 52,Delhi,24 Hours
53,Spice House 53,Kolkata,24 Hours
54,Royal Palace 54,Ahmedabad,11:00-01:00
55,Food Hub 55,Kolkata,09:00-22:00
56,Royal Hub 56,Hyderabad,11:00-01:00
57,Pizza Kitchen 57,Ahmedabad,11:00-01:00
58,Food Palace 58,Pune,11:00-01:00
59,Curry Hub 59,Kolkata,09:00-22:00
60,Curry Corner 60,Delhi,11:00-01:00
61,Curry Palace 61,Ahmedabad,24 Hours
62,Urban Point 62,Chennai,24 Hours
63,Royal House 63,Pune,24 Hours
64,Cafe Point 64,Mumbai,09:00-22:00
65,Royal Palace 65,Hyderabad,11:00-01:00
66,Curry Express 66,Chennai,24 Hours
67,Food Factory 67,Pune,24 Hours
68,Biryani House 68,Delhi,09:00-22:00
69,Royal Corner 69,Chennai,09:00-22:00
70,Taste House 70,Kolkata,09:00-22:00
71,Urban Kitchen 71,Ahmedabad,09:00-22:00
72,Spice Point 72,Mumbai,09:00-22:00
73,Food House 73,Mumbai,24 Hours
74,Food Corner 74,Hyderabad,11:00-01:00
75,Pizza House 75,Delhi,10:00-23:00
76,Spice Hub 76,Pune,11:00-01:00
77,Pizza Factory 77,Chennai,24 Hours
78,Royal House 78,Ahmedabad,24 Hours
79,Burger Express 79,Pune,24 Hours
80,Burger Corner 80,Mumbai,24 Hours
81,Food Palace 81,Kolkata,11:00-01:00
82,Royal Express 82,Bangalore,09:00-22:00
83,Burger House 83,Pune,11:00-01:00
84,Pizza Hub 84,Ahmedabad,24 Hours
85,Food Hub 85,Kolkata,11:00-01:00
86,Cafe Corner 86,Bangalore,11:00-01:00
87,Taste Point 87,Kolkata,24 Hours
